frame_number,timestamp,is_motion_detected,max_contour_area
30,0:00:01,False,0
60,0:00:02,True,17787.0
90,0:00:03,True,3180.5
120,0:00:04,False,0
150,0:00:05,True,7127.0
180,0:00:06,True,4797.5
210,0:00:07,True,2446.5
240,0:00:08,True,5298.0
270,0:00:09,True,59108.5
300,0:00:10,True,30514.0
330,0:00:11,True,61198.5
360,0:00:12,True,22072.0
390,0:00:13,True,37137.5
420,0:00:14,True,25580.0
450,0:00:15,True,15862.5
480,0:00:16,True,1277.0
510,0:00:17,True,3378.0
540,0:00:18,True,16361.0
570,0:00:19,True,54844.0
600,0:00:20,True,22603.5
630,0:00:21,True,35328.5
660,0:00:22,True,8539.0
690,0:00:23,True,11851.5
720,0:00:24,True,2658.0
750,0:00:25,False,0
780,0:00:26,False,0
810,0:00:27,True,2632.5
840,0:00:28,True,3866.5
870,0:00:29,True,2189.5
900,0:00:30,False,0
930,0:00:31,False,0
960,0:00:32,False,0
990,0:00:33,False,0
1020,0:00:34,False,0
1050,0:00:35,False,0
1080,0:00:36,False,0
1110,0:00:37,True,3108.5
1140,0:00:38,True,8717.0
1170,0:00:39,True,51158.5
1200,0:00:40,True,19940.0
1230,0:00:41,True,5607.5
1260,0:00:42,True,30366.0
1290,0:00:43,True,41957.5
1320,0:00:44,True,26667.0
1350,0:00:45,True,4173.5
1380,0:00:46,True,3663.5
1410,0:00:47,True,6535.0
1440,0:00:48,False,0
1470,0:00:49,False,0
1500,0:00:50,False,0
1530,0:00:51,False,0
1560,0:00:52,False,0
1590,0:00:53,False,0
1620,0:00:54,False,0
1650,0:00:55,False,0
1680,0:00:56,False,0
1710,0:00:57,False,0
1740,0:00:58,False,0
1770,0:00:59,False,0
1800,0:01:00,False,0
1830,0:01:01,False,0
1860,0:01:02,True,9308.0
1890,0:01:03,True,11809.0
1920,0:01:04,True,7939.5
1950,0:01:05,True,3477.5
1980,0:01:06,False,0
2010,0:01:07,False,0
2040,0:01:08,False,0
2070,0:01:09,True,6566.0
2100,0:01:10,True,2500.5
2130,0:01:11,False,0
2160,0:01:12,False,0
2190,0:01:13,False,0
2220,0:01:14,False,0
2250,0:01:15,False,0
2280,0:01:16,True,58268.5
2310,0:01:17,True,120613.0
2340,0:01:18,True,33032.5
2370,0:01:19,True,11265.0
2400,0:01:20,True,7627.0
2430,0:01:21,True,4615.5
2460,0:01:22,True,1708.0
2490,0:01:23,False,0
2520,0:01:24,False,0
2550,0:01:25,False,0
2580,0:01:26,False,0
2610,0:01:27,False,0
2640,0:01:28,False,0
2670,0:01:29,False,0
2700,0:01:30,False,0
2730,0:01:31,False,0
2760,0:01:32,False,0
2790,0:01:33,False,0
2820,0:01:34,False,0
2850,0:01:35,False,0
2880,0:01:36,False,0
2910,0:01:37,False,0
2940,0:01:38,False,0
2970,0:01:39,False,0
3000,0:01:40,False,0
3030,0:01:41,False,0
3060,0:01:42,False,0
3090,0:01:43,True,10302.5
3120,0:01:44,True,49462.0
3150,0:01:45,True,40374.0
3180,0:01:46,True,25900.0
3210,0:01:47,True,39992.5
3240,0:01:48,True,45368.0
3270,0:01:49,True,40000.0
3300,0:01:50,True,35644.5
3330,0:01:51,True,1690.0
3360,0:01:52,True,2388.0
3390,0:01:53,True,49758.5
3420,0:01:54,True,22291.0
3450,0:01:55,True,10664.5
3480,0:01:56,False,0
3510,0:01:57,False,0
3540,0:01:58,False,0
3570,0:01:59,True,2135.0
30,0:00:01,False,0
60,0:00:02,True,17787.0
90,0:00:03,True,3180.5
120,0:00:04,False,0
150,0:00:05,True,7127.0
180,0:00:06,True,4797.5
210,0:00:07,True,2446.5
240,0:00:08,True,5298.0
270,0:00:09,True,59108.5
300,0:00:10,True,30514.0
330,0:00:11,True,61198.5
360,0:00:12,True,22072.0
390,0:00:13,True,37137.5
420,0:00:14,True,25580.0
450,0:00:15,True,15862.5
480,0:00:16,True,1277.0
510,0:00:17,True,3378.0
540,0:00:18,True,16361.0
570,0:00:19,True,54844.0
600,0:00:20,True,22603.5
630,0:00:21,True,35328.5
660,0:00:22,True,8539.0
690,0:00:23,True,11851.5
720,0:00:24,True,2658.0
750,0:00:25,False,0
780,0:00:26,False,0
810,0:00:27,True,2632.5
840,0:00:28,True,3866.5
870,0:00:29,True,2189.5
900,0:00:30,False,0
930,0:00:31,False,0
960,0:00:32,False,0
990,0:00:33,False,0
1020,0:00:34,False,0
1050,0:00:35,False,0
1080,0:00:36,False,0
1110,0:00:37,True,3108.5
1140,0:00:38,True,8717.0
1170,0:00:39,True,51158.5
1200,0:00:40,True,19940.0
1230,0:00:41,True,5607.5
1260,0:00:42,True,30366.0
1290,0:00:43,True,41957.5
1320,0:00:44,True,26667.0
1350,0:00:45,True,4173.5
1380,0:00:46,True,3663.5
1410,0:00:47,True,6535.0
1440,0:00:48,False,0
1470,0:00:49,False,0
1500,0:00:50,False,0
1530,0:00:51,False,0
1560,0:00:52,False,0
1590,0:00:53,False,0
1620,0:00:54,False,0
1650,0:00:55,False,0
1680,0:00:56,False,0
1710,0:00:57,False,0
1740,0:00:58,False,0
1770,0:00:59,False,0
1800,0:01:00,False,0
1830,0:01:01,False,0
1860,0:01:02,True,9308.0
